Rank,Name,Rank_Again,Symbol,Price,24h,7d,Market Cap,Volume USD,Volume Units,Circulating Supply,price,market_cap,volume_usd
,Verge,,XVG,$0.009523,36.21%,19.52%,,,,,0.009523,,
,Bitcoin Gold,,BTG,$8.85,1.46%,0.12%,,,,,8.85,,
,Nano,,NANO,$1.14,9.19%,0.54%,,,,,1.14,,
,NXM,,NXM,$26.21,5.71%,42.91%,,,,,26.21,,
,HedgeTrade,,HEDG,$0.446272,-6.78%,10.04%,,,,,0.446272,,
,Horizen,,ZEN,$14.13,18.86%,9.89%,,,,,14.13,,
,Lisk,,LSK,$1.16,-0.28%,-1.75%,,,,,1.16,,
,MaidSafeCoin,,MAID,$0.310942,-9.48%,-9.34%,,,,,0.310942,,
,Quant,,QNT,$11.63,2.80%,1.37%,,,,,11.63,,
,Holo,,HOT,$0.000826,23.79%,37.60%,,,,,0.000826,,
,Bancor,,BNT,$1.39,6.00%,9.94%,,,,,1.39,,
,Band Protocol,,BAND,$6.42,10.82%,22.36%,,,,,6.42,,
,Aragon,,ANT,$3.17,-0.86%,11.35%,,,,,3.17,,
,ZB Token,,ZB,$0.268567,0.33%,4.30%,,,,,0.268567,,
901,SAFE DEAL,901,SFD,$19.08,2.21%,4.50%,"$3,326,990","$391,412","20,518 SFD","174,405 SFD",19.08,3326990.0,391412.0
902,QLC Chain,902,QLC,$0.013861,3.74%,8.93%,"$3,326,707","$398,854","28,774,685 QLC","240,000,000 QLC",0.013861,3326707.0,398854.0
903,BTSE,903,BTSE,$0.766588,6.99%,40.57%,"$3,338,269","$24,014","31,326 BTSE","4,354,711 BTSE",0.766588,3338269.0,24014.0
904,Noku,904,NOKU,$0.111728,13.04%,30.40%,"$3,322,079",$0,0 NOKU,"29,733,709 NOKU",0.111728,3322079.0,0.0
905,BUX Token,905,BUX,$0.057422,5.66%,8.01%,"$3,325,026","$159,892","2,784,488 BUX","57,904,773 BUX",0.057422,3325026.0,159892.0
906,Mirrored Microsoft,906,mMSFT,$224.18,1.40%,0.88%,"$3,303,267","$5,490",24 MMSFT,"14,735 mMSFT",224.18,3303267.0,5490.0
907,SonoCoin,907,SONO,$0.116713,0.04%,0.33%,"$3,297,187",$0,0 SONO,"28,250,407 SONO",0.116713,3297187.0,0.0
908,SOMESING,908,SSX,$0.022931,0.97%,2.57%,"$3,286,928","$855,295","37,299,431 SSX","143,343,000 SSX",0.022931,3286928.0,855295.0
909,IntelliShare,909,INE,$0.010329,10.39%,20.06%,"$3,272,463",$8,815 INE,"316,815,200 INE",0.010329,3272463.0,8.0
910,Base Protocol,910,BASE,$0.692437,35.67%,2.79%,"$3,265,066","$1,289,650","1,862,479 BASE","4,715,324 BASE",0.692437,3265066.0,1289650.0
,Team Heretics Fan Token,,TH,$7.61,-7.04%,-4.66%,,,,,7.61,,
,Growth DeFi,,GRO,$21.08,-2.20%,9.74%,,,,,21.08,,
,PressOne,,PRS,$0.011358,7.79%,-1.06%,,,,,0.011358,,
,Valobit,,VBIT,$0.011798,17.65%,25.95%,,,,,0.011798,,
,Minereum,,MNE,$0.292032,29.39%,21.46%,,,,,0.292032,,
,Nsure.Network,,NSURE,$0.560880,2.24%,-0.85%,,,,,0.56088,,
,SingularDTV,,SNGLS,$0.005017,-5.72%,14.24%,,,,,0.005017,,
,Mettalex,,MTLX,$2.67,2.55%,49.10%,,,,,2.67,,
,Monetha,,MTH,$0.007915,3.08%,0.22%,,,,,0.007915,,
,Mirrored Amazon,,mAMZN,$3288.33,0.56%,2.12%,,,,,3288.33,,
,Qitmeer,,PMEER,$0.023219,-5.24%,-19.20%,,,,,0.023219,,
,INT,,INT,$0.007139,7.66%,20.44%,,,,,0.007139,,
,MOAC,,MOAC,$0.050364,8.31%,16.10%,,,,,0.050364,,
,Novacoin,,NVC,$1.34,7.03%,22.11%,,,,,1.34,,
,SONM,,SNM,$0.008674,-1.12%,-9.85%,,,,,0.008674,,
,Validity,,VAL,$0.729210,-0.53%,-1.80%,,,,,0.72921,,
,Stealth,,XST,$0.083984,-16.87%,-29.43%,,,,,0.083984,,
,Amon,,AMN,$0.004458,-21.47%,8.47%,,,,,0.004458,,
,Shift,,SHIFT,$0.225361,0.04%,0.92%,,,,,0.225361,,
,Ormeus Cash,,OMC,$0.016386,0.37%,0.33%,,,,,0.016386,,
,Idena,,IDNA,$0.089505,0.33%,9.10%,,,,,0.089505,,
,Atlas Protocol,,ATP,$0.001191,4.22%,-8.21%,,,,,0.001191,,
,Counterparty,,XCP,$1.16,-3.99%,-0.58%,,,,,1.16,,
,ToaCoin,,TOA,$0.000336,7.19%,22.16%,,,,,0.000336,,
,Mirrored Invesco QQQ Trust,,mQQQ,$313.42,0.56%,0.58%,,,,,313.42,,
,iEthereum,,IETH,$0.166801,6.33%,21.36%,,,,,0.166801,,
,Nuco.cloud,,NCDT,$0.460300,9.33%,25.55%,,,,,0.4603,,
,KuboCoin,,KUBO,$0.000033,70.31%,403.98%,,,,,3.3e-05,,
,Wings,,WINGS,$0.029940,-6.56%,-4.73%,,,,,0.02994,,
,AIDUS TOKEN,,AIDUS,$0.006668,-5.05%,-9.24%,,,,,0.006668,,
,Rupiah Token,,IDRT,$0.000071,-0.70%,1.46%,,,,,7.1e-05,,
,Kira Network,,KEX,$0.237460,3.74%,0.02%,,,,,0.23746,,
,Sense,,SENSE,$0.003617,5.74%,20.51%,,,,,0.003617,,
,HyperDAO,,HDAO,$0.007646,-7.24%,-3.80%,,,,,0.007646,,
,YOU COIN,,YOU,$0.005266,5.60%,7.73%,,,,,0.005266,,
,Rubycoin,,RBY,$0.105778,22.60%,-1.58%,,,,,0.105778,,
,Phore,,PHR,$0.126231,-1.73%,-23.95%,,,,,0.126231,,
,Mirrored Alibaba,,mBABA,$234.95,0.56%,7.15%,,,,,234.95,,
,VNT Chain,,VNT,$0.001065,0.47%,1.83%,,,,,0.001065,,
,XMax,,XMX,$0.000197,1.20%,-5.42%,,,,,0.000197,,
,X-CASH,,XCASH,$0.000050,7.10%,11.23%,,,,,5e-05,,
,Bismuth,,BIS,$0.136509,3.19%,-1.53%,,,,,0.136509,,
,NuBits,,USNBT,$0.261610,37.04%,-4.79%,,,,,0.26161,,
,LINA,,LINA,$0.009347,8.38%,28.85%,,,,,0.009347,,
,EXMO Coin,,EXM,$0.003985,9.11%,5.67%,,,,,0.003985,,
,UnlimitedIP,,UIP,$0.002204,15.42%,15.90%,,,,,0.002204,,
,OneRoot Network,,RNT,$0.010078,-7.52%,-6.54%,,,,,0.010078,,
,HOMIHELP,,HOMI,$2.56,8.94%,-14.04%,,,,,2.56,,
,HYCON,,HYC,$0.001237,-0.99%,-8.40%,,,,,0.001237,,
,Qredit,,XQR,$0.004241,18.19%,37.27%,,,,,0.004241,,
,Nexty,,NTY,$0.000018,135.99%,174.86%,,,,,1.8e-05,,
,GeoDB,,GEO,$0.205905,4.80%,2.39%,,,,,0.205905,,
,MediShares,,MDS,$0.002320,-3.18%,-6.04%,,,,,0.00232,,
,Coineal Token,,NEAL,$0.011426,4.93%,9.67%,,,,,0.011426,,
,SmartMesh,,SMT,$0.002084,-2.82%,-9.47%,,,,,0.002084,,
,EDC Blockchain,,EDC,$0.059815,7.97%,15.02%,,,,,0.059815,,
,ALQO,,XLQ,$0.042647,-9.24%,-4.23%,,,,,0.042647,,
,Origo,,OGO,$0.006292,-1.19%,-7.09%,,,,,0.006292,,
,Alpha Quark Token,,AQT,$1.86,-3.82%,-9.84%,,,,,1.86,,
,Mirrored iShares Gold Trust,,mIAU,$18.38,1.67%,2.56%,,,,,18.38,,
,TrueFeedBack,,TFB,$0.001163,14.06%,42.22%,,,,,0.001163,,
,Abyss,,ABYSS,$0.012051,-0.18%,2.75%,,,,,0.012051,,
,PotCoin,,POT,$0.012010,19.60%,40.88%,,,,,0.01201,,
,Blockchain Certified Data Token,,BCDT,$0.071299,24.25%,47.30%,,,,,0.071299,,
,Egretia,,EGT,$0.000640,-2.61%,9.97%,,,,,0.00064,,
,BitTube,,TUBE,$0.009351,4.92%,23.52%,,,,,0.009351,,
,BlackCoin,,BLK,$0.044493,3.25%,3.21%,,,,,0.044493,,
,Tripio,,TRIO,$0.000704,-7.04%,-10.17%,,,,,0.000704,,
,Geeq,,GEEQ,$0.393166,6.38%,15.41%,,,,,0.393166,,
,Modern Investment Coin,,MODIC,$1.50,10.07%,45.39%,,,,,1.5,,
,CACHE Gold,,CGT,$60.67,-0.62%,0.64%,,,,,60.67,,
,Xaurum,,XAUR,$0.037162,-6.66%,57.24%,,,,,0.037162,,
,Spiking,,SPIKE,$0.005965,11.92%,28.15%,,,,,0.005965,,
,Mirrored iShares Silver Trust,,mSLV,$25.05,0.56%,5.54%,,,,,25.05,,
,ScPrime,,SCP,$0.083132,-21.27%,-0.06%,,,,,0.083132,,
,Vipstar Coin,,VIPS,$0.000052,-5.00%,2.16%,,,,,5.2e-05,,
,Polyient Games Governance Token,,PGT,$149.11,8.56%,21.05%,,,,,149.11,,
,EOSDT,,EOSDT,$0.989370,0.23%,-1.90%,,,,,0.98937,,
,CPChain,,CPC,$0.006905,8.65%,-49.67%,,,,,0.006905,,
,Global Cryptocurrency,,GCC,$0.002015,-28.64%,-43.62%,,,,,0.002015,,
,nDEX,,NDX,$0.000170,7.32%,22.33%,,,,,0.00017,,
,Multi Channel Influencer Creater Cloud Funding Platform,,MCI,$0.005655,-1.89%,-12.56%,,,,,0.005655,,
,Netbox Coin,,NBX,$0.032911,12.60%,22.96%,,,,,0.032911,,
,OKCash,,OK,$0.032225,0.80%,-11.03%,,,,,0.032225,,
,Presearch,,PRE,$0.014616,2.10%,-0.44%,,,,,0.014616,,
,CVCoin,,CVN,$0.203473,20.00%,32.91%,,,,,0.203473,,
,SpankChain,,SPANK,$0.008386,-0.00%,-0.00%,,,,,0.008386,,
,Mirrored Twitter,,mTWTR,$55.04,1.22%,1.47%,,,,,55.04,,
,AirWire,,WIRE,$0.020820,10.76%,16.52%,,,,,0.02082,,
,Graviocoin,,GIO,$0.033893,-10.07%,-45.75%,,,,,0.033893,,
1001,Peculium,1001,PCL,$0.001213,1.15%,44.20%,"$2,474,689","$19,110","15,748,446 PCL","2,039,325,377 PCL",0.001213,2474689.0,19110.0
1002,Bitcoin Rhodium,1002,XRC,$2.02,43.26%,20.32%,"$2,488,688","$34,437","17,021 XRC","1,230,108 XRC",2.02,2488688.0,34437.0
1003,HalalChain,1003,HLC,$0.005286,40.41%,58.44%,"$2,056,119","$132,490","25,066,513 HLC","389,009,995 HLC",0.005286,2056119.0,132490.0
1004,Anyswap,1004,ANY,$0.170369,3.02%,6.18%,"$2,468,108","$2,856,094","16,764,209 ANY","14,486,876 ANY",0.170369,2468108.0,2856094.0
1005,Mirrored Netflix,1005,mNFLX,$543.78,0.92%,5.07%,"$2,466,305","$2,303",4 MNFLX,"4,535 mNFLX",543.78,2466305.0,2303.0
1006,HTMLCOIN,1006,HTML,$0.000046,10.49%,11.02%,"$2,455,772","$37,017","799,918,238 HTML","53,067,332,240 HTML",4.6e-05,2455772.0,37017.0
1007,EncrypGen,1007,DNA,$0.036413,14.17%,84.61%,"$2,440,751","$11,246","308,835 DNA","67,029,877 DNA",0.036413,2440751.0,11246.0
1008,BOLT,1008,BOLT,$0.002348,14.01%,21.58%,"$2,327,599","$100,514","42,807,036 BOLT","991,283,100 BOLT",0.002348,2327599.0,100514.0
1009,DeepOnion,1009,ONION,$0.108836,2.80%,0.93%,"$2,437,363","$341,831","3,140,795 ONION","22,394,877 ONION",0.108836,2437363.0,341831.0
1010,Lympo,1010,LYM,$0.002921,2.51%,2.25%,"$2,414,801","$144,928","49,613,932 LYM","826,672,979 LYM",0.002921,2414801.0,144928.0
,CoinPoker,,CHP,$0.008850,6.10%,14.64%,,,,,0.00885,,
,Mirrored United States Oil Fund,,mUSO,$33.16,0.54%,1.23%,,,,,33.16,,
,BitGreen,,BITG,$0.199292,-20.18%,-35.34%,,,,,0.199292,,
,LOLTOKEN,,LOL,$0.005373,15.12%,25.86%,,,,,0.005373,,
,NIX,,NIX,$0.049491,4.26%,-8.34%,,,,,0.049491,,
,NoLimitCoin,,NLC2,$0.003306,-7.84%,-10.80%,,,,,0.003306,,
,Diamond Platform Token,,DPT,$1.37,28.07%,-46.95%,,,,,1.37,,
,Mirrored ProShares VIX,,mVIXY,$14.48,0.58%,6.02%,,,,,14.48,,
,Ormeus Ecosystem,,ECO,$0.001059,0.92%,-12.26%,,,,,0.001059,,
,Apex,,CPX,$0.004520,13.95%,30.89%,,,,,0.00452,,
,Zel,,ZEL,$0.018369,-8.16%,-8.20%,,,,,0.018369,,
,Club Atletico Independiente,,CAI,$4.22,-6.00%,9.11%,,,,,4.22,,
,NextDAO,,NAX,$0.001372,5.08%,-6.03%,,,,,0.001372,,
,Remme,,REM,$0.002317,3.16%,6.41%,,,,,0.002317,,
,IG Gold,,IGG,$0.000261,33.55%,45.06%,,,,,0.000261,,
,Cloudbric,,CLB,$0.004004,6.24%,-3.79%,,,,,0.004004,,
,PLANET,,PLA,$0.014194,9.93%,73.70%,,,,,0.014194,,
,Alias,,ALIAS,$0.086008,7.57%,212.76%,,,,,0.086008,,
,DOC.COM,,MTC,$0.002961,-21.18%,-42.04%,,,,,0.002961,,
,Safex Cash,,SFX,$0.031364,3.64%,-7.94%,,,,,0.031364,,
,BakeryToken,,BAKE,$0.017636,2.35%,3.71%,,,,,0.017636,,
,Epic Cash,,EPIC,$0.227275,3.39%,-31.45%,,,,,0.227275,,
,U Network,,UUU,$0.000322,-0.69%,-4.68%,,,,,0.000322,,
,Rotharium,,RTH,$0.671807,12.84%,29.48%,,,,,0.671807,,
,Renewable Electronic Energy Coin,,REEC,$0.005150,2.80%,-1.81%,,,,,0.00515,,
,Rapidz,,RPZX,$0.001277,-17.32%,6.41%,,,,,0.001277,,
,Crown,,CRW,$0.083178,1.69%,14.91%,,,,,0.083178,,
,Blockmason Credit Protocol,,BCPT,$0.018348,-2.55%,-7.38%,,,,,0.018348,,
,Cajutel,,CAJ,$1.60,52.20%,176.39%,,,,,1.6,,
,Caspian,,CSP,$0.004846,-5.34%,-4.73%,,,,,0.004846,,
,Patron,,PAT,$0.005504,17.28%,118.17%,,,,,0.005504,,
,Qubitica,,QBIT,$2.67,7.28%,129.32%,,,,,2.67,,
,BitBall,,BTB,$0.003360,8.17%,7.03%,,,,,0.00336,,
,FREE Coin,,FREE,$0.000000,50.74%,80.31%,,,,,0.0,,
,VINchain,,VIN,$0.003647,9.57%,6.29%,,,,,0.003647,,
,AGA Token,,AGA,$1.18,32.07%,226.59%,,,,,1.18,,
,DDKoin,,DDK,$1.26,-8.48%,14.59%,,,,,1.26,,
,Primecoin,,XPM,$0.061712,4.21%,-6.58%,,,,,0.061712,,
,CoTrader,,COT,$0.000113,106.43%,1.74%,,,,,0.000113,,
,1World,,1WO,$0.085736,-8.01%,-14.39%,,,,,0.085736,,
,Quasarcoin,,QAC,$0.012606,14.00%,93.12%,,,,,0.012606,,
,Genaro Network,,GNX,$0.007684,-4.62%,-14.78%,,,,,0.007684,,
,Hyprr (Howdoo),,UDOO,$0.021668,9.92%,27.98%,,,,,0.021668,,
,Adshares,,ADS,$0.060427,6.85%,22.92%,,,,,0.060427,,
,Couchain,,COU,$0.000115,7.33%,22.56%,,,,,0.000115,,
,LNX Protocol,,LNX,$0.007782,0.00%,0.00%,,,,,0.007782,,
,DeepBrain Chain,,DBC,$0.000647,-1.93%,10.26%,,,,,0.000647,,
,WPP TOKEN,,WPP,$0.001501,-2.63%,-17.87%,,,,,0.001501,,
,Quark,,QRK,$0.007673,-12.67%,27.12%,,,,,0.007673,,
,Traceability Chain,,TAC,$0.002347,17.79%,37.01%,,,,,0.002347,,
,Autonio,,NIOX,$0.039908,6.75%,1.88%,,,,,0.039908,,
,GMB,,GMB,$0.003989,0.69%,0.40%,,,,,0.003989,,
,Hydro Protocol,,HOT,$0.002919,-6.16%,-21.60%,,,,,0.002919,,
,Naka Bodhi Token,,NBOT,$0.029174,8.99%,5.09%,,,,,0.029174,,
,Manna,,MANNA,$0.003068,-0.97%,33.02%,,,,,0.003068,,
,SmartCredit Token,,SMARTCREDIT,$1.83,30.95%,36.66%,,,,,1.83,,
,Curecoin,,CURE,$0.080869,9.03%,-4.86%,,,,,0.080869,,
,Denarius,,D,$0.269235,31.82%,26.56%,,,,,0.269235,,
,Sylo,,SYLO,$0.000826,-1.11%,-4.25%,,,,,0.000826,,
,EZOOW,,EZW,$0.000171,6.59%,21.69%,,,,,0.000171,,
,Cube,,AUTO,$0.000295,-3.11%,-7.25%,,,,,0.000295,,
,CryptoCarbon,,CCRB,$0.080065,4.59%,-1.30%,,,,,0.080065,,
,Connectome,,CNTM,$1.64,-1.90%,0.00%,,,,,1.64,,
,OceanEx Token,,OCE,$0.001103,10.55%,14.93%,,,,,0.001103,,
,Hydro,,HYDRO,$0.000180,-2.10%,-12.77%,,,,,0.00018,,
,Winding Tree,,LIF,$0.091350,5.17%,-5.58%,,,,,0.09135,,
,Nyzo,,NYZO,$0.173923,15.21%,15.63%,,,,,0.173923,,
,ChronoCoin,,CRN,$0.000890,0.04%,0.32%,,,,,0.00089,,
,Fyooz,,FYZ,$0.437548,13.13%,-4.35%,,,,,0.437548,,
,Folder Protocol,,FOL,$0.658275,1.52%,-6.00%,,,,,0.658275,,
,Kingdom Game 4.0,,KDG,$0.063213,-1.53%,-13.08%,,,,,0.063213,,
,DeFinition,,DZI,$0.829933,12.61%,18.28%,,,,,0.829933,,
,Xaya,,CHI,$0.042853,-2.35%,11.32%,,,,,0.042853,,
,CargoX,,CXO,$0.012262,34.59%,47.67%,,,,,0.012262,,
,Colu Local Network,,CLN,$0.019491,5.17%,9.44%,,,,,0.019491,,
,EasyFi,,EASY,$3.62,-10.73%,-13.28%,,,,,3.62,,
,Cred,,LBA,$0.002285,0.52%,-12.11%,,,,,0.002285,,
,Skrumble Network,,SKM,$0.001892,4.20%,0.68%,,,,,0.001892,,
,Eureka Coin,,ERK,$0.028945,3.07%,-2.10%,,,,,0.028945,,
,Idle,,IDLE,$2.39,2.49%,-38.91%,,,,,2.39,,
,Ethverse,,ETHV,$0.156173,28.68%,11.44%,,,,,0.156173,,
,THEKEY,,TKY,$0.000308,16.54%,6.51%,,,,,0.000308,,
,Verasity,,VRA,$0.000494,-4.64%,-1.21%,,,,,0.000494,,
,HitChain,,HIT,$0.000031,-5.11%,-3.33%,,,,,3.1e-05,,
,Hi Mutual Society,,HMC,$0.004670,-0.76%,-5.64%,,,,,0.00467,,
,WeShow Token,,WET,$0.004078,-5.99%,-12.97%,,,,,0.004078,,
,Compendia,,BIND,$0.018348,6.32%,21.25%,,,,,0.018348,,
,Bitcore,,BTX,$0.105188,-0.53%,-30.29%,,,,,0.105188,,
,FinNexus,,FNX,$0.107738,-15.54%,-15.48%,,,,,0.107738,,
,Rarible,,RARI,$2.20,0.50%,9.33%,,,,,2.2,,
1101,XTRABYTES,1101,XBY,$0.004339,19.32%,64.07%,"$1,865,965","$7,362","1,696,488 XBY","430,000,000 XBY",0.004339,1865965.0,7362.0
1102,DiFy.Finance,1102,YFIII,$241.88,32.91%,56.45%,"$1,932,718","$370,405","1,531 YFIII","7,990 YFIII",241.88,1932718.0,370405.0
1103,Holyheld,1103,HOLY,$0.612407,17.60%,18.58%,"$1,854,398","$12,312","20,105 HOLY","3,028,047 HOLY",0.612407,1854398.0,12312.0
1104,Waves Community Token,1104,WCT,$0.183481,6.33%,36.52%,"$1,834,807",$0,0 WCT,"9,999,960 WCT",0.183481,1834807.0,0.0
1105,Jibrel Network,1105,JNT,$0.010802,1.29%,7.02%,"$1,834,615","$127,704","11,822,449 JNT","169,843,069 JNT",0.010802,1834615.0,127704.0
1106,Raven Protocol,1106,RAVEN,$0.000423,4.78%,1.91%,"$1,836,100","$2,393","5,659,768 RAVEN","4,343,079,499 RAVEN",0.000423,1836100.0,2393.0
